"Faixa et�ria";"Carc. Epiderm. Inv";"Adenocarc in situ";"Les IEp Alto Grau";"At.Glan.Ind. Alto Grau";"ASC-H";"Ori.Indef. Alto Grau";"Les IE Baixo Grau";"At.Glan.Ind.N�o Neo";"ASC-US";"Ori.Indef.N�o Neo";"Outras Neoplasias";"Negativo";"Insatisfat�rio";" Total"
"At� 9 anos";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"40";"1";"44"
"Entre 10 a 14 anos";"0";"0";"0";"0";"0";"0";"9";"0";"11";"0";"0";"589";"4";"613"
"Entre 15 a 19 anos";"0";"0";"10";"0";"18";"0";"353";"25";"558";"0";"0";"18991";"52";"20007"
"Entre 20 a 24 anos";"1";"0";"87";"6";"50";"2";"626";"72";"1105";"3";"0";"37991";"70";"40013"
"Entre 25 a 29 anos";"1";"2";"154";"5";"118";"1";"558";"103";"1065";"2";"0";"40638";"49";"42696"
"Entre 30 a 34 anos";"6";"3";"210";"11";"121";"3";"400";"118";"1111";"5";"1";"42231";"56";"44276"
"Entre 35 a 39 anos";"9";"6";"209";"17";"133";"1";"421";"175";"1226";"1";"0";"47299";"49";"49546"
"Entre 40 a 44 anos";"9";"3";"187";"14";"133";"1";"321";"183";"1216";"6";"0";"48611";"54";"50738"
"Entre 45 a 49 anos";"4";"6";"120";"14";"126";"2";"269";"180";"1146";"3";"0";"49947";"42";"51859"
"Entre 50 a 54 anos";"5";"0";"151";"14";"123";"1";"142";"153";"817";"3";"0";"53598";"44";"55051"
"Entre 55 a 59 anos";"6";"1";"83";"11";"110";"0";"87";"57";"587";"5";"0";"50529";"51";"51527"
"Entre 60 a 64 anos";"6";"1";"50";"7";"90";"0";"57";"35";"347";"0";"0";"39641";"45";"40279"
"Entre 65 a 69 anos";"9";"1";"41";"2";"53";"1";"24";"18";"194";"0";"0";"22534";"29";"22906"
"Entre 70 a 74 anos";"1";"1";"16";"3";"34";"0";"7";"9";"65";"1";"0";"8807";"17";"8961"
"Entre 75 a 79 anos";"2";"0";"12";"1";"4";"0";"3";"1";"25";"1";"0";"3106";"9";"3164"
"Acima de 79 anos";"1";"0";"3";"1";"2";"0";"2";"0";"7";"1";"0";"860";"3";"880"
"Ignorado";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2"
"Total";"60";"24";"1331";"106";"1114";"12";"3270";"1127";"9446";"31";"1";"463696";"574";"480792"
