"Faixa etária";"Carc. Epiderm. Inv";"Adenocarc invasor";"Adenocarc in situ";"Les IEp Alto Grau";"At.Glan.Ind. Alto Grau";"ASC-H";"Ori.Indef. Alto Grau";"Les IE Baixo Grau";"At.Glan.Ind.Não Neo";"ASC-US";"Ori.Indef.Não Neo";"Outras Neoplasias";"Negativo";"Insatisfatório";" Total"
"Até 9 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"15";"2";"18"
"Entre 10 a 14 anos";"0";"0";"0";"0";"0";"1";"0";"10";"1";"16";"0";"0";"320";"2";"350"
"Entre 15 a 19 anos";"0";"0";"0";"8";"1";"26";"0";"243";"15";"368";"0";"0";"13097";"32";"13790"
"Entre 20 a 24 anos";"1";"0";"0";"83";"5";"100";"1";"529";"56";"1020";"0";"0";"34847";"80";"36722"
"Entre 25 a 29 anos";"2";"0";"1";"232";"23";"174";"3";"666";"112";"1434";"1";"0";"50265";"124";"53037"
"Entre 30 a 34 anos";"4";"0";"3";"311";"29";"219";"6";"586";"136";"1400";"2";"0";"49822";"121";"52639"
"Entre 35 a 39 anos";"2";"0";"2";"341";"32";"225";"5";"502";"158";"1450";"1";"0";"52751";"90";"55559"
"Entre 40 a 44 anos";"9";"1";"5";"308";"42";"250";"1";"505";"212";"1717";"3";"0";"61376";"121";"64550"
"Entre 45 a 49 anos";"4";"0";"3";"238";"26";"217";"5";"391";"184";"1620";"2";"0";"59205";"117";"62012"
"Entre 50 a 54 anos";"3";"0";"5";"150";"32";"223";"2";"296";"148";"1227";"3";"0";"60649";"115";"62853"
"Entre 55 a 59 anos";"8";"0";"2";"119";"19";"191";"3";"204";"93";"852";"4";"1";"60611";"112";"62219"
"Entre 60 a 64 anos";"3";"0";"2";"89";"17";"174";"5";"130";"53";"625";"2";"0";"50526";"96";"51722"
"Entre 65 a 69 anos";"1";"0";"1";"61";"7";"96";"0";"55";"20";"323";"1";"1";"24862";"58";"25486"
"Entre 70 a 74 anos";"1";"0";"0";"21";"2";"38";"3";"14";"5";"105";"0";"0";"8678";"37";"8904"
"Entre 75 a 79 anos";"1";"0";"0";"9";"0";"12";"0";"10";"3";"35";"1";"0";"2741";"7";"2819"
"Acima de 79 anos";"1";"0";"0";"4";"0";"3";"0";"1";"2";"7";"0";"1";"657";"9";"685"
"Ignorado";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"5"
"Total";"40";"1";"24";"1967";"235";"1946";"34";"4123";"1197";"12160";"20";"3";"527769";"1120";"550639"
