"Faixa etaria";"Carc. Epiderm. Inv";"Adenocarc in situ";"Les IEp Alto Grau";"At.Glan.Ind. Alto Grau";"ASC-H";"Ori.Indef. Alto Grau";"Les IE Baixo Grau";"At.Glan.Ind.N�o Neo";"ASC-US";"Ori.Indef.N�o Neo";"Outras Neoplasias";"Negativo";"Insatisfat�rio";" Total"
"At� 9 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"25"
"Entre 10 a 14 anos";"0";"0";"0";"0";"0";"0";"9";"0";"1";"0";"0";"297";"1";"307"
"Entre 15 a 19 anos";"0";"0";"5";"0";"10";"0";"224";"14";"315";"0";"0";"11782";"27";"12328"
"Entre 20 a 24 anos";"0";"2";"72";"7";"81";"0";"495";"44";"825";"1";"0";"31151";"60";"32606"
"Entre 25 a 29 anos";"2";"4";"220";"19";"148";"3";"575";"66";"1042";"1";"0";"42087";"72";"44035"
"Entre 30 a 34 anos";"8";"5";"239";"15";"163";"7";"471";"106";"1102";"0";"0";"42790";"67";"44760"
"Entre 35 a 39 anos";"3";"2";"262";"34";"181";"3";"477";"125";"1238";"1";"0";"46850";"77";"49006"
"Entre 40 a 44 anos";"7";"4";"233";"28";"211";"5";"413";"144";"1345";"3";"0";"52437";"68";"54605"
"Entre 45 a 49 anos";"1";"3";"194";"26";"188";"1";"345";"132";"1234";"3";"1";"51603";"60";"53545"
"Entre 50 a 54 anos";"4";"2";"136";"25";"190";"2";"210";"130";"994";"3";"0";"54634";"58";"56169"
"Entre 55 a 59 anos";"4";"2";"129";"14";"189";"4";"133";"79";"739";"1";"0";"55237";"96";"56451"
"Entre 60 a 64 anos";"3";"1";"91";"15";"141";"1";"92";"44";"441";"0";"0";"45317";"77";"46122"
"Entre 65 a 69 anos";"4";"1";"42";"1";"75";"4";"34";"25";"235";"0";"1";"23684";"43";"24082"
"Entre 70 a 74 anos";"2";"2";"20";"1";"23";"3";"16";"4";"70";"0";"0";"8414";"23";"8562"
"Entre 75 a 79 anos";"0";"0";"8";"1";"11";"0";"5";"5";"31";"0";"1";"2740";"8";"2805"
"Acima de 79 anos";"0";"0";"2";"0";"4";"0";"2";"4";"3";"0";"0";"724";"1";"737"
"Ignorado";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"7"
"Total";"38";"28";"1649";"185";"1615";"33";"3488";"922";"9596";"13";"3";"468309";"737";"484443"
