Faixa etaria;2019 Les IEp Alto Grau;2019 At.Glan.Ind. Alto Grau;2019 Ori.Indef. Alto Grau;2020 Les IEp Alto Grau;2020 At.Glan.Ind. Alto Grau;2020 Ori.Indef. Alto Grau;2021 Les IEp Alto Grau;2021 At.Glan.Ind. Alto Grau;2021 Ori.Indef. Alto Grau;2022 Les IEp Alto Grau;2022 At.Glan.Ind. Alto Grau;2022 Ori.Indef. Alto Grau;2023 Les IEp Alto Grau;2023 At.Glan.Ind. Alto Grau;2023 Ori.Indef. Alto Grau
Acima de 79 anos;3;1;0;2;0;0;1;0;0;2;0;0;4;0;0
Atï¿½ 9 anos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entre 10 a 14 anos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entre 15 a 19 anos;10;0;0;6;0;0;10;0;1;5;0;0;8;1;0
Entre 20 a 24 anos;87;6;2;48;2;1;78;3;1;72;7;0;83;5;1
Entre 25 a 29 anos;154;5;1;122;7;1;183;13;1;220;19;3;232;23;3
Entre 30 a 34 anos;210;11;3;180;10;2;205;17;0;239;15;7;311;29;6
Entre 35 a 39 anos;209;17;1;200;13;1;244;24;1;262;34;3;341;32;5
Entre 40 a 44 anos;187;14;1;163;10;2;229;17;4;233;28;5;308;42;1
Entre 45 a 49 anos;120;14;2;101;7;1;165;20;4;194;26;1;238;26;5
Entre 50 a 54 anos;151;14;1;93;11;0;113;25;4;136;25;2;150;32;2
Entre 55 a 59 anos;83;11;0;74;8;1;106;15;3;129;14;4;119;19;3
Entre 60 a 64 anos;50;7;0;51;2;0;73;12;8;91;15;1;89;17;5
Entre 65 a 69 anos;41;2;1;34;0;0;46;10;1;42;1;4;61;7;0
Entre 70 a 74 anos;16;3;0;10;1;0;18;1;0;20;1;3;21;2;3
Entre 75 a 79 anos;12;1;0;7;1;0;7;2;0;8;1;0;9;0;0
Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Total;1331;106;12;1089;72;9;1472;159;28;1649;185;33;1967;235;34
